question,answer
"What are the steps to declare a 2-for-1 bonus issue in the system?","To declare a 2-for-1 bonus issue in the system, follow these steps: 1. Navigate to the Stockbrokerage Module. 2. Click on Public Offer/Right Issues. 3. Select Bonus Txns. 4. Search or input the Stock code. 5. Choose the appropriate date. 6. Input '2' in the first box under the units label and '1' in the second box. 7. Enter your comment and save the changes. 8. After saving, you can view the allocation to see what was allocated to each portfolio."
"Could you outline the procedure to access a customer's mutual fund holdings statement?","To access a customer's mutual fund holdings statement, follow these steps: 1. Navigate to Reports. 2. Select Business Intelligence Reports. 3. Expand the Mutual Funds report category. 4. Launch the first report listed under that category. 5. Choose your fund from the available options. 6. Enter the customer AID and the relevant date. 7. Click 'View Report' to generate the statement."
"When a customer needs to update or remove multilevel approvers for their modules, what steps should they follow?","To update or remove multilevel approvers for your modules, follow these steps: 1. Click on the Security module. 2. Navigate to Approvers within the Security module. In the Approvers form, use the drop-down menu beside the module button to select the modules you wish to configure. 3. In the User section of the form (on the left side), select the user and add each user in the order you want them to approve before it reaches the GL. Click Continue on the prompt that appears when adding users. 4. To remove existing multilevel approvers, select the approvers listed under the Approvers section, choose the ones you want to remove, and press Remove. Repeat this process to remove all undesired approvers. 5. Save your changes once you have finished updating the configuration."
"How do I extract my running investments using the interest position form?","Navigate to Asset Management. Select Treasury Bills PL. Click on Interest Position. Select your value date to view all running transactions as of that date. Expand the Filter & Export button. Choose the option to export to Excel."
"What is the procedure for updating the next coupon date for a bond?","Click on Bonds. Click on Payment Coupon Schedule. Search for the bond and select it. Click on Add Date. Edit the newly added date to reflect the last coupon payment date. Save the changes."
"I want to configure multi-level approvers for the investment fund module.","1. Click on 'Security Module'. 2. Click on 'Approvers'. 3. Ensure that the 'Modules' field is set to 'Investment Fund'. 4. On the right, add the people who should approve the investment and click 'Save'."
"How do I access the GL Audit Call Over report with a wide date range?","1. Go to the Reports module. 2. Click on 'Reports - IDIA Business Intelligence' (the second menu under the report module, not the first one). 3. Expand the Accounts/GL report category. 4. Click on GL Audit Call Over Report and launch it. 5. Input your parameters. 6. Expand the Filter & Export section and export the report to Excel if needed."
"We require the bond/t-bill liquidation module in InfoWARE to enable us to process a pending final redemption. How can we grant users the necessary permissions for this module?","To grant users the necessary permissions, follow these steps: 1. Launch the application. 2. Navigate to the security menu. 3. Click on Security Permission. 4. Select the User/Group by clicking on the green drop-down button in front of it. 5. Click on Add, and a new modal will appear. 6. Click on the arrow drop-down beside the 'Filter & Export' button. 7. Change the Search type from 'Type' to 'Description' by clicking on the arrow-down button. 8. Input 'Bond' in the last form box and press the Tab button on your keyboard. 9. A list of menu/forms containing 'Bond' will appear. Scroll down to where you see 'Bond Liquidation.' 10. Click on it, change the 'Type of Access:' to Full Access, and then click on Add. 11. Repeat the same search process for 'Tbill' and click OK. 12. You will be returned to the previous menu; then click Save."
"How do I restructure a loan or perform a rollover in the application?","Navigate to the Loan Partial Liquidation menu. Select the loan and partially liquidate it. The system will carry over the details of the previous loan to the Loan Creation menu. Review and resave the loan details as needed."
"How do I perform the 'Cert in Hand' process?","To perform the 'Cert in Hand' process, follow these steps: 1. Navigate to the 'Stock Brokerage Module'. 2. Go to 'Trade/OMS' and select 'Cert in Hand'. 3. Call up the customer. 4. Click on 'New' and input the required information. 5. Save the changes."
